day_of_week,carrier,avg_dep_delay,avg_arr_delay
1,Atlantic Southeast Airlines,15.991341991341992,13.366611433305717
1,Hawaiian Airlines Inc.,1.5332053742802303,0.8836405529953917
1,Allegiant Air,8.216620217887003,6.022848438690023
1,Pinnacle Airlines Inc.,10.642064749830201,2.9440852897811047
1,Frontier Airlines Inc.,14.129466597617814,7.423495850622406
1,Delta Air Lines Inc.,9.388649001273649,0.9042374463319022
1,Southwest Airlines Co.,8.93848009650181,0.7997174626321546
1,American Airlines Inc.,10.297915460335842,5.427857649410096
1,"Midwest Airline, Inc.",8.205520892418226,4.608337280909522
1,Comair Inc.,8.824313982726578,3.6974218321448165
1,JetBlue Airways,25.51001031991744,19.713191136881342
1,American Eagle Airlines Inc.,11.027350259778453,8.719681321923872
1,Alaska Airlines Inc.,11.318058635131806,10.795974155069583
1,Mesa Airlines Inc.,10.520525224602626,7.867017592464331
1,United Air Lines Inc.,13.979397215564282,8.486638393541464
1,Skywest Airlines Inc.,17.371235564948297,12.81220568130032
1,Spirit Air Lines,9.496829422954978,3.5657623353958434
2,Atlantic Southeast Airlines,13.299445824574814,12.265208213394741
2,American Airlines Inc.,7.887590041703525,3.185343463121241
2,Mesa Airlines Inc.,8.261952591402169,6.369828049435787
2,Hawaiian Airlines Inc.,1.7709077912794853,1.2954220314735336
2,Frontier Airlines Inc.,8.662790697674419,1.4620077648363838
2,American Eagle Airlines Inc.,6.637674053736027,5.432451047918922
2,Skywest Airlines Inc.,13.459048804598543,9.587910469739361
2,"Midwest Airline, Inc.",2.896250455041864,-0.4020994979461433
2,Allegiant Air,4.299533022014677,1.1395193591455273
2,Spirit Air Lines,7.098906479516892,1.6334368360843274
2,Alaska Airlines Inc.,4.385147007145367,1.9709514289074443
2,United Air Lines Inc.,8.606144303920143,3.6264072204968945
2,Comair Inc.,8.341915660097479,3.4131035949797917
2,JetBlue Airways,21.369896227330035,14.91536813400857
2,Delta Air Lines Inc.,6.256179843272518,-2.0879800982950063
2,Pinnacle Airlines Inc.,4.79828137049686,-2.644812362030905
2,Southwest Airlines Co.,8.083432708688246,0.2421674918900461
3,Spirit Air Lines,7.173982869379015,1.9478385137549126
3,Alaska Airlines Inc.,3.073889916743756,0.3147502903600465
3,Comair Inc.,7.369015492253873,3.0178643115214774
3,JetBlue Airways,14.6659027976702,9.880095693779904
3,Hawaiian Airlines Inc.,1.4127492877492878,1.5373931623931625
3,United Air Lines Inc.,12.794624697336562,8.857926414911173
3,American Eagle Airlines Inc.,9.881339803977543,8.826290630975143
3,Southwest Airlines Co.,9.04905249214861,1.6241436889878405
3,Mesa Airlines Inc.,11.38539176626826,9.524813233724654
3,"Midwest Airline, Inc.",6.622198314506007,3.645906353913903
3,Pinnacle Airlines Inc.,10.187480339729476,2.9793857803954564
3,American Airlines Inc.,10.283055317061205,6.807060704840396
3,Delta Air Lines Inc.,10.173008445896237,2.600247634208897
3,Frontier Airlines Inc.,11.372390759810743,5.068023417897965
3,Atlantic Southeast Airlines,15.112464319695528,13.917638066118862
3,Skywest Airlines Inc.,18.380441112243414,14.434213421342134
3,Allegiant Air,5.24033677765021,3.2371252882398154
4,Alaska Airlines Inc.,5.650646337421279,3.5340732519422864
4,Skywest Airlines Inc.,16.199753781217023,11.248433794641278
4,Atlantic Southeast Airlines,14.502603198214949,13.761344537815127
4,Allegiant Air,9.036993123073275,7.0016646848989295
4,Southwest Airlines Co.,12.454378405778735,5.004761803982984
4,American Airlines Inc.,10.853379590156704,6.876336957482542
4,Hawaiian Airlines Inc.,3.0213599145603416,3.340819964349376
4,"Midwest Airline, Inc.",9.729575021682567,6.824521739130435
4,Comair Inc.,8.83741343996879,4.281464082990801
4,Mesa Airlines Inc.,13.11935565702689,11.61884150222788
4,Pinnacle Airlines Inc.,15.152350581215924,8.140294814967529
4,United Air Lines Inc.,12.248680954382033,7.717164632720812
4,Frontier Airlines Inc.,16.47439225867359,9.231260345235281
4,JetBlue Airways,18.728808838547952,13.6824613665984
4,American Eagle Airlines Inc.,9.693720593557726,8.316572880740607
4,Spirit Air Lines,9.403055229142186,3.7441928844457513
4,Delta Air Lines Inc.,10.086039523864555,1.8480587860903779
5,JetBlue Airways,18.317510158847433,13.282234160800297
5,Comair Inc.,11.42360502483202,6.920751394188436
5,Spirit Air Lines,7.679740447007931,2.0776558891454964
5,United Air Lines Inc.,11.672162099930924,7.525763667452285
5,Southwest Airlines Co.,11.786926994906622,4.517801231675203
5,Pinnacle Airlines Inc.,15.440335104209236,8.51015176374077
5,American Airlines Inc.,10.319723745683527,6.103536528617962
5,Delta Air Lines Inc.,7.071976911976912,-1.0983327072557576
5,Skywest Airlines Inc.,15.81266291672383,11.14114114114114
5,Mesa Airlines Inc.,11.538228232023252,9.47410409016082
5,Atlantic Southeast Airlines,13.057569684824195,11.251874885677703
5,Hawaiian Airlines Inc.,5.485800200467758,5.178655068584811
5,Alaska Airlines Inc.,4.9656619189577125,3.5053835053835054
5,"Midwest Airline, Inc.",13.927919393730624,12.041116005873715
5,American Eagle Airlines Inc.,11.140846294204536,9.314378057302585
5,Frontier Airlines Inc.,13.622268712226871,7.99394644935972
5,Allegiant Air,9.164066085360258,7.1916360294117645
6,Alaska Airlines Inc.,5.650241300482601,1.4537332482450542
6,Spirit Air Lines,8.865962984384037,1.9051961210015922
6,Pinnacle Airlines Inc.,6.1431998523712865,-1.371322849213691
6,Allegiant Air,7.965452847805789,5.2030615432677285
6,JetBlue Airways,12.450044903457567,4.441358371753064
6,United Air Lines Inc.,12.272762197464465,6.54683460755734
6,"Midwest Airline, Inc.",5.33805476864967,-0.6456534594914252
6,Southwest Airlines Co.,9.725112511251124,1.6451496481142533
6,American Airlines Inc.,9.234080209550104,3.8230725583374707
6,Delta Air Lines Inc.,4.676334015425783,-3.2112332112332114
6,American Eagle Airlines Inc.,6.840956725434595,3.83236061095244
6,Hawaiian Airlines Inc.,2.6213381555153705,2.4043478260869566
6,Atlantic Southeast Airlines,13.050969778980605,10.00724473624632
6,Mesa Airlines Inc.,10.644233664558868,7.931529625151149
6,Skywest Airlines Inc.,13.858490566037736,9.550113237710377
6,Frontier Airlines Inc.,14.0025490695896,7.359989780275932
6,Comair Inc.,5.279009433962264,-1.763739510696135
7,Southwest Airlines Co.,10.089982600049714,2.4904720952337844
7,United Air Lines Inc.,12.310317962701466,7.167341759796984
7,Spirit Air Lines,9.860891234242157,4.568322068762856
7,Skywest Airlines Inc.,16.340494051678412,11.884816354552042
7,Mesa Airlines Inc.,10.455524898173696,7.840295164053235
7,Delta Air Lines Inc.,7.012046252455954,-1.1198141815601006
7,"Midwest Airline, Inc.",7.466752424302395,3.994145663822187
7,Allegiant Air,10.32967032967033,8.463237021376557
7,Pinnacle Airlines Inc.,7.526215959897033,0.7620858229223249
7,Comair Inc.,11.054655870445345,6.195291599785982
7,American Eagle Airlines Inc.,10.273938935627186,8.641554246627399
7,JetBlue Airways,17.498212867355043,11.701796407185629
7,American Airlines Inc.,10.309612983770288,5.745689520292894
7,Atlantic Southeast Airlines,17.080562153602532,15.118149324861001
7,Hawaiian Airlines Inc.,1.2395147313691508,0.2060353798126951
7,Alaska Airlines Inc.,6.020311598384304,2.7797909407665506
7,Frontier Airlines Inc.,11.86924150767799,5.4163170163170165
